base_address,start_bit,end_bit,is_signed,param_name
0000,0,15,Y,DELAY_A
0001,0,15,Y,DELAY_C
0002,0,15,Y,LASER_DELAY
0003,0,13,N,ATTENUATOR_POSITION_SETTING
0003,14,14,N,ATTENUATOR_BUSY
0003,15,15,N,ATTENUATOR_NOT_FOUND
0004,0,0,N,SWITCH_PMT
0004,1,1,N,SWITCH_SCINTILLATOR
0004,2,2,N,SWITCH_3
0004,3,3,N,SWITCH_4
0008,0,9,Y,VERTEX_TIME_LOW_THRESHOLD
0009,0,9,Y,VERTEX_TIME_HIGH_THRESHOLD
000A,0,15,N,SEMI_CENTRAL_LEVEL_A
000B,0,15,N,SEMI_CENTRAL_LEVEL_C
000C,0,15,N,CENTRAL_LEVEL_A
000D,0,15,N,CENTRAL_LEVEL_C
000E,0,0,N,MODE_C_SIDE_DELAY
000E,1,2,N,MODE_SIDES_COMBINATION
000E,3,3,N,MODE_EXTENDED_READOUT
000E,8,8,N,MODE_SEMICENTRAL_EVALUATION
000E,9,9,N,MODE_TRIGGERS
001A,0,8,N,SIDE_A_CHANNEL_MASK
001A,17,17,N,SIDE_A_SYNC_ERROR_CHANNEL_A0
001A,18,18,N,SIDE_A_SYNC_ERROR_CHANNEL_A1
001A,19,19,N,SIDE_A_SYNC_ERROR_CHANNEL_A2
001A,20,20,N,SIDE_A_SYNC_ERROR_CHANNEL_A3
001A,21,21,N,SIDE_A_SYNC_ERROR_CHANNEL_A4
001A,22,22,N,SIDE_A_SYNC_ERROR_CHANNEL_A5
001A,23,23,N,SIDE_A_SYNC_ERROR_CHANNEL_A6
001A,24,24,N,SIDE_A_SYNC_ERROR_CHANNEL_A7
001A,25,25,N,SIDE_A_SYNC_ERROR_CHANNEL_A8
001A,26,26,N,SIDE_A_SYNC_ERROR_CHANNEL_A9
001A,27,27,N,SIDE_A_MASTER_LINK_DELAY_ERROR
001A,28,28,N,SIDE_A_ENABLED
001A,29,29,N,SIDE_A_DELAY_RANGE_ERROR
001A,30,30,N,SIDE_A_READY_BIT_CHANGES_STATE
001A,31,31,N,SIDE_A_READY
001B,0,23,N,LASER_DIVIDER_FREQUENCY
001B,24,24,N,LASER_ONCE_PER_N_ORBIT_MODE
001B,30,30,N,LASER_ENABLED
001B,31,31,N,LASER_ACTUATION_SOURCE
001C,0,31,N,LASER_PATTERN_LSB
001D,0,31,N,LASER_PATTERN_MSB
001F,0,5,N,TRIGGERS_SUPPRESION_DELAY
001F,6,7,N,TRIGGERS_SUPPRESION_DURATION
003A,0,9,N,SIDE_C_CHANNEL_MASK
003A,17,17,N,SIDE_C_SYNC_ERROR_CHANNEL_C0
003A,18,18,N,SIDE_C_SYNC_ERROR_CHANNEL_C1
003A,19,19,N,SIDE_C_SYNC_ERROR_CHANNEL_C2
003A,20,20,N,SIDE_C_SYNC_ERROR_CHANNEL_C3
003A,21,21,N,SIDE_C_SYNC_ERROR_CHANNEL_C4
003A,22,22,N,SIDE_C_SYNC_ERROR_CHANNEL_C5
003A,23,23,N,SIDE_C_SYNC_ERROR_CHANNEL_C6
003A,24,24,N,SIDE_C_SYNC_ERROR_CHANNEL_C7
003A,25,25,N,SIDE_C_SYNC_ERROR_CHANNEL_C8
003A,26,26,N,SIDE_C_SYNC_ERROR_CHANNEL_C9
003A,27,27,N,SIDE_C_MASTER_LINK_DELAY_ERROR
003A,28,28,N,SIDE_C_ENABLED
003A,29,29,N,SIDE_C_DELAY_RANGE_ERROR
003A,30,30,N,SIDE_C_READY_BIT_CHANGES_STATE
003A,31,31,N,SIDE_C_READY
0050,0,2,N,COUNTER_READ_INTERVAL
0060,0,13,N,TRIGGER_5_SIGNATURE
0061,0,30,N,TRIGGER_5_RANDOM_RATE
0062,0,13,N,TRIGGER_4_SIGNATURE
0063,0,30,N,TRIGGER_4_RANDOM_RATE
0064,0,13,N,TRIGGER_2_SIGNATURE
0065,0,30,N,TRIGGER_2_RANDOM_RATE
0066,0,13,N,TRIGGER_1_SIGNATURE
0067,0,30,N,TRIGGER_1_RANDOM_RATE
0068,0,13,N,TRIGGER_3_SIGNATURE
0069,0,30,N,TRIGGER_3_RANDOM_RATE
006A,0,1,N,TRIGGER_5_OUTPUT_MODE
006A,2,2,N,TRIGGER_5_OUTPUT_ENABLED
006A,3,4,N,TRIGGER_4_OUTPUT_MODE
006A,5,5,N,TRIGGER_4_OUTPUT_ENABLED
006A,6,7,N,TRIGGER_2_OUTPUT_MODE
006A,8,8,N,TRIGGER_2_OUTPUT_ENABLED
006A,9,10,N,TRIGGER_1_OUTPUT_MODE
006A,11,11,N,TRIGGER_1_OUTPUT_ENABLED
006A,12,13,N,TRIGGER_3_OUTPUT_MODE
006A,14,14,N,TRIGGER_3_OUTPUT_ENABLED
00D8,0,3,N,GBT_DATA_EMULATION_MODE
00D8,4,7,N,GBT_TRIGGERS_EMULATION_MODE
00D8,8,8,N,GBT_RESET_ORBIT_SYNC
00D8,9,9,N,GBT_RESET_DATA_COUNTERS
00D8,10,10,N,GBT_START_OF_EMULATION
00D8,11,11,N,GBT_RESET_RX_ERROR
00D8,12,12,N,GBT_RESET
00D8,13,13,N,GBT_RESET_RX_PHASE_ERROR
00D8,14,14,N,GBT_RESET_READOUT_FSM
00D8,15,15,N,GBT_RESET_ERROR_REPORT_FIFO
00D8,16,19,N,GBT_CTP_EMULATION_RUN_TYPE
00D8,20,20,N,GBT_HB_RESPONSE
00D8,21,21,N,GBT_BYPASS_MODE
00D8,22,22,N,GBT_FORCE_IDLE
00D8,23,23,N,GBT_HB_REJECT
00D8,24,24,N,GBT_SHIFT_RX_PHASE
00D8,25,25,N,GBT_EMU_ORBIT_JUMP
00D9,0,31,N,GBT_TRIGGER_RESPOND_MASK
00DA,0,31,N,GBT_DG_BUNCH_PATTERN
00DA,0,3,N,GBT_NUMBER_OF_WORDS_IN_EVENT_0
00DA,4,7,N,GBT_NUMBER_OF_WORDS_IN_EVENT_1
00DA,8,11,N,GBT_NUMBER_OF_WORDS_IN_EVENT_2
00DA,12,15,N,GBT_NUMBER_OF_WORDS_IN_EVENT_3
00DA,16,19,N,GBT_NUMBER_OF_WORDS_IN_EVENT_4
00DA,20,23,N,GBT_NUMBER_OF_WORDS_IN_EVENT_5
00DA,24,27,N,GBT_NUMBER_OF_WORDS_IN_EVENT_6
00DA,28,31,N,GBT_NUMBER_OF_WORDS_IN_EVENT_7
00DB,0,31,N,GBT_UNKNOWN_01
00DC,0,31,N,GBT_EMULATED_TRIGGERS_PATTERN_LSB
00DD,0,31,N,GBT_EMULATED_TRIGGERS_PATTERN_MSB
00DE,0,31,N,GBT_EMULATED_TRIGGERS_VALUE
00DF,0,15,N,GBT_EMULATION_RATE_DATA
00DF,16,31,N,GBT_EMULATION_RATE_TRIGGERS
00E0,0,11,N,GBT_DATA_GENERATOR_FREQ_OFFSET
00E0,16,27,N,GBT_TRIGGER_GENERATOR_FREQ_OFFSET
00E0,28,31,N,GBT_EMULATED_HBR_TRIGGERS_RATE_FREQ_OFFSET
00E1,0,15,N,GBT_RDH_FEE_ID
00E1,16,23,N,GBT_RDH_SYSTEM_ID
00E1,24,31,N,GBT_RDH_PRIORITY_BIT
00E2,0,31,N,GBT_UNKNOWN_02
00E3,0,11,N,GBT_BCID_OFFSET
00E4,0,31,N,GBT_DATA_SELECT_TRIGGER_MASK